Case_ID,Side,Curve1_RAS_S_Avg,Curve2_RAS_S_Avg,Curve1_RAS_R_Avg,Curve2_RAS_R_Avg,Superior Curve,RAS_S Diff,RAS_R Alignment Check
mr_018,R,35.89,18.23,-5.01,26.36,curve1,17.67,✅
mr_019,L,36.03,13.63,2.52,-27.55,curve1,22.4,✅
mr_019,R,18.96,35.67,37.12,5.22,curve2,16.71,✅
mr_020,L,-21.84,-5.66,-30.83,-4.98,curve2,16.18,✅
mr_020,R,-18.81,-5.47,2.08,-3.9,curve2,13.35,✅
mr_021,L,-13.93,0.22,-15.86,8.91,curve2,14.15,✅
mr_022,L,-43.76,-25.09,-26.13,-1.87,curve2,18.67,✅
mr_022,R,-20.51,-46.57,-1.58,29.63,curve1,26.06,✅
mr_023,R,-34.54,-13.36,35.21,2.0,curve2,21.18,✅
mr_024,L,35.97,12.72,-4.54,-38.21,curve1,23.25,✅
mr_025,L,0.67,20.66,-37.05,-7.85,curve2,19.99,✅
mr_025,R,-0.24,20.91,22.21,-5.0,curve2,21.15,✅
mr_026,L,-21.7,-12.01,-27.41,-1.18,curve2,9.69,✅
mr_026,R,-8.31,-19.75,0.25,24.32,curve1,11.44,✅
mr_027,L,-14.06,-1.46,-26.13,-1.9,curve2,12.59,✅
mr_027,R,0.39,-12.03,-2.49,25.96,curve1,12.42,✅
mr_028,L,15.68,35.58,-29.84,5.66,curve2,19.9,✅
mr_028,R,15.04,10.81,4.94,34.28,curve1,4.23,✅
mr_029,L,-5.95,0.43,-40.46,-0.78,curve2,6.38,✅
mr_029,R,-7.74,1.41,22.27,0.82,curve2,9.15,✅
mr_030,L,0.23,-7.4,-5.12,-29.52,curve1,7.63,✅
mr_030,R,-10.46,-0.18,20.93,-3.04,curve2,10.27,✅
mr_031,L,31.01,41.34,-25.09,-0.08,curve2,10.33,✅
mr_031,R,41.74,33.79,2.3,27.19,curve1,7.95,✅
mr_032,L,12.3,-5.17,-1.11,-27.04,curve1,17.47,✅
mr_032,R,12.05,-2.46,-0.54,23.73,curve1,14.51,✅
mr_033,R,-17.68,-2.7,36.43,7.05,curve2,14.98,✅
mr_034,L,-39.19,-48.17,-0.36,-26.63,curve1,8.98,✅
mr_034,R,-39.17,-51.66,-0.97,28.61,curve1,12.49,✅
mr_035,L,-21.02,-30.32,-8.34,-27.59,curve1,9.29,✅
mr_035,R,-21.0,-33.32,-7.04,17.88,curve1,12.32,✅
mr_036,L,-17.16,1.72,-30.87,-3.37,curve2,18.88,✅
mr_036,R,1.24,-18.81,-3.44,29.11,curve1,20.05,✅
mr_037,L,-42.48,-49.08,-6.97,-29.76,curve1,6.6,✅
mr_037,R,-49.11,-42.93,16.97,-7.27,curve2,6.18,✅
mr_038,L,-20.26,-9.99,-26.17,0.57,curve2,10.27,✅
mr_038,R,-5.77,-22.52,2.48,26.25,curve1,16.75,✅
mr_039,L,-60.42,-66.19,6.09,-24.04,curve1,5.77,✅
mr_039,R,-60.6,-71.34,7.92,36.08,curve1,10.73,✅
mr_040,L,55.03,39.77,-12.22,-34.57,curve1,15.26,✅
mr_040,R,54.81,40.92,-9.69,20.31,curve1,13.89,✅
mr_041,L,-29.78,-5.03,-38.39,-13.57,curve2,24.75,✅
mr_041,R,-25.26,-4.85,22.9,-11.37,curve2,20.41,✅
mr_042,L,15.54,35.53,-27.51,2.34,curve2,19.99,✅
mr_042,R,33.42,11.51,3.94,31.36,curve1,21.91,✅
mr_043,L,-16.29,17.54,-13.34,-2.08,curve2,33.83,✅
mr_043,R,16.74,0.44,0.08,26.32,curve1,16.3,✅
mr_044,L,5.92,-17.06,10.02,-18.53,curve1,22.98,✅
mr_045,L,9.14,25.69,-35.59,-4.93,curve2,16.54,✅
mr_045,R,5.25,32.06,28.68,-4.09,curve2,26.81,✅
mr_046,L,-5.45,12.87,-44.39,-17.8,curve2,18.32,✅
mr_046,R,13.07,-7.19,-14.3,18.27,curve1,20.26,✅
mr_047,L,60.07,77.97,-25.97,0.02,curve2,17.9,✅
mr_047,R,56.9,76.06,28.03,-1.48,curve2,19.17,✅
mr_048,L,5.91,25.54,-28.22,-10.59,curve2,19.63,✅
mr_048,R,29.97,10.48,-7.62,23.55,curve1,19.49,✅
mr_049,L,-1.41,13.83,-26.48,-0.7,curve2,15.25,✅
mr_049,R,15.05,-9.54,0.86,31.48,curve1,24.59,✅
mr_050,L,29.67,52.44,-29.19,-5.09,curve2,22.76,✅
mr_050,R,31.02,52.2,25.13,-6.44,curve2,21.18,✅
mr_051,L,-20.22,-40.36,-7.38,-33.45,curve1,20.14,✅
mr_051,R,-36.01,-20.11,22.88,-6.9,curve2,15.9,✅
mr_052,L,-11.36,-29.23,-1.04,-22.91,curve1,17.87,✅
mr_052,R,-31.34,-11.14,27.61,0.66,curve2,20.2,✅
mr_053,L,-23.94,-3.16,-25.61,2.43,curve2,20.78,✅
mr_053,R,-30.11,-3.8,27.24,4.24,curve2,26.32,✅
mr_054,L,-43.71,-16.48,-40.07,-11.13,curve2,27.24,✅
mr_054,R,-15.93,-39.78,-8.11,28.2,curve1,23.85,✅
mr_055,L,41.54,65.98,-25.09,-3.94,curve2,24.44,✅
mr_055,R,52.74,65.39,31.5,-1.88,curve2,12.65,✅
mr_056,L,0.53,20.54,-34.25,-4.2,curve2,20.01,✅
mr_056,R,-9.35,17.75,20.81,-3.09,curve2,27.1,✅
mr_057,L,-4.19,19.12,-33.37,1.86,curve2,23.31,✅
mr_057,R,-10.84,19.55,36.66,4.91,curve2,30.38,✅
mr_058,L,30.1,9.08,0.02,-23.28,curve1,21.02,✅
mr_058,R,30.1,12.46,2.1,30.27,curve1,17.64,✅
mr_059,L,-7.27,-31.05,-9.8,-38.51,curve1,23.78,✅
mr_059,R,-29.89,-7.46,24.6,-7.97,curve2,22.43,✅
mr_060,L,2.07,-27.68,-7.91,-32.87,curve1,29.75,✅
mr_060,R,-31.13,1.79,20.04,-3.91,curve2,32.92,✅
mr_061,L,54.22,31.4,-5.86,-32.39,curve1,22.82,✅
mr_061,R,31.69,53.68,26.95,-3.54,curve2,21.99,✅
mr_062,L,-7.7,-27.19,-3.92,-30.26,curve1,19.49,✅
mr_062,R,-28.21,-6.02,25.69,-2.76,curve2,22.19,✅
mr_063,L,-57.07,-35.11,-24.06,5.01,curve2,21.96,✅
mr_064,L,5.21,-15.77,9.1,-15.72,curve1,20.98,✅
mr_064,R,3.93,-20.31,11.8,37.86,curve1,24.23,✅
mr_065,L,-8.84,13.91,-44.17,-21.42,curve2,22.75,✅
mr_065,R,14.36,-12.14,-18.64,12.3,curve1,26.5,✅
mr_066,L,-11.42,0.25,-25.26,1.82,curve2,11.67,✅
mr_066,R,2.99,-12.65,2.7,24.57,curve1,15.64,✅
mr_067,L,-18.54,-2.22,-28.58,-3.5,curve2,16.32,✅
mr_067,R,-2.22,-14.61,-2.96,25.4,curve1,12.39,✅
mr_068,L,32.66,42.24,-22.35,-1.24,curve2,9.59,✅
mr_068,R,33.07,42.78,31.77,0.54,curve2,9.71,✅
mr_069,L,-2.27,-18.28,-3.33,-27.89,curve1,16.01,✅
mr_069,R,-24.99,-2.04,21.59,-0.07,curve2,22.95,✅
mr_070,L,-15.14,-0.9,-18.38,5.77,curve2,14.23,✅
mr_070,R,-0.7,-14.23,5.33,26.78,curve1,13.52,✅
mr_071,L,-14.69,-0.95,-25.83,5.35,curve2,13.74,✅
mr_071,R,-1.31,-31.11,9.06,28.85,curve1,29.8,✅
mr_072,L,-39.72,-56.69,0.13,-20.95,curve1,16.96,✅
mr_072,R,-39.22,-53.58,0.51,25.63,curve1,14.36,✅
mr_073,L,9.29,34.94,-42.04,-18.75,curve2,25.65,✅
mr_073,R,36.21,14.1,-15.66,21.57,curve1,22.11,✅
mr_074,L,-16.19,1.86,-28.69,-4.27,curve2,18.04,✅
mr_074,R,-10.24,1.49,28.63,-2.5,curve2,11.72,✅
mr_075,L,-28.55,-4.09,-40.15,-16.87,curve2,24.46,✅
mr_075,R,-17.37,-18.92,-3.41,20.82,curve1,1.55,✅
mr_076,L,-40.43,-16.45,-24.04,-12.44,curve2,23.98,✅
