Model_ID,ICA_CE_Radius,MCA_CE_Radius,ACA_CE_Radius,Murray_Deviation_Percent,Murray_Exponent_k_minimize,Murray_Exponent_k_root
ct_027_R,1.5140135,1.5155539999999998,0.7083194999999999,-10.546,6.01722,
ct_028_L,2.5488694444444446,1.913718,1.5727869999999995,34.181,1.84408,1.84408
ct_029_L,1.987143,1.678543,0.5263413749999999,37.87,1.24954,1.24954
ct_029_R,2.4876834375000003,1.84593675,1.6152997499999997,31.767,1.92097,1.92097
ct_030_L,2.556881,1.5896325,1.29383925,63.013,1.21217,1.21217
ct_030_R,1.8415735,1.5653685000000002,1.2818747499999998,4.857,2.78747,2.78748
ct_031_L,2.16167525,1.67033925,1.100844,40.657,1.60412,1.60412
ct_031_R,1.5978584999999998,1.6534005000000005,1.095236,-42.999,0.5,
ct_032_L,2.1227,1.7504577499999996,1.05274075,31.724,1.76963,1.76963
ct_032_R,2.25303675,1.5664685000000005,1.37940575,43.441,1.63578,1.63578
ct_033_R,2.14477525,1.48411925,1.53561175,30.164,1.9755,1.9755
ct_034_L,1.6317885,1.390971,0.99125225,15.645,2.33891,2.33891
ct_034_R,2.81606225,1.4618395000000002,1.007685,81.43,0.83792,0.83792
ct_035_L,1.66828975,1.3599485000000002,1.1003409999999998,17.138,2.33131,2.33131
ct_035_R,1.69965475,1.2619525,1.004587,38.421,1.73015,1.73015
ct_036_L,2.4846727500000005,2.112595833333333,1.0774395,30.379,1.70181,1.70181
ct_036_R,2.8800125000000003,1.897879,1.93703675,40.958,1.70408,1.70408
ct_037_L,2.14509075,1.5480275,1.20470925,44.703,1.57802,1.57802
ct_037_R,1.77487925,1.4634339285714284,0.8567567500000001,32.697,1.72956,1.72956
ct_038_L,2.1890114285714284,1.38877125,1.11172375,61.365,1.2408,1.2408
ct_038_R,2.0027555,1.51433425,0.6893555,52.692,1.18616,1.18617
ct_039_L,1.962762,1.6425015000000005,1.301682,12.229,2.49535,2.49535
ct_039_R,2.01056175,1.76830225,1.4344125,-4.346,3.21255,3.21254
ct_040_L,1.878752,1.644666071428571,1.260647,2.704,2.87346,2.87346
ct_040_R,2.2157570000000004,1.8131325,1.55324575,10.76,2.56465,2.56465
ct_041_L,1.62354925,1.2562012500000002,0.5267445499999999,50.264,1.18773,1.18773
ct_041_R,1.7758390000000002,1.604729,0.823053,16.255,2.13113,2.13113
ct_042_L,1.7092140000000005,1.4431945,0.814574,28.977,1.80281,1.80281
